# WARNCELLID;NAME;KURZNAME;KENNUNG (SIGN)
801051016;Gemeinde Burg (Dithmarschen);Burg (Dithm.);
801051017;Gemeinde Busenwurth;Busenwurth;
801051019;Gemeinde Dellstedt;Dellstedt;
801051020;Gemeinde Delve;Delve;
801051021;Gemeinde Diekhusen-Fahrstedt;Diekhus.-Fahrst;
801051022;Gemeinde Dingen;Dingen;
801051023;Gemeinde Dörpling;Dörpling;
801051024;Gemeinde Eddelak;Eddelak;
801051026;Gemeinde Eggstedt;Eggstedt;
801051027;Gemeinde Elpersbüttel;Elpersbüttel;
801051028;Gemeinde Epenwöhrden;Epenwöhrden;
801051030;Gemeinde Fedderingen;Fedderingen;
801051032;Gemeinde Frestedt;Frestedt;
801051033;Gemeinde Friedrichsgabekoog;FriedrichsgabeK;
801051034;Gemeinde Friedrichskoog;Friedrichskoog;
801051035;Gemeinde Gaushorn;Gaushorn;
801051036;Gemeinde Glüsing;Glüsing;
801051037;Gemeinde Großenrade;Großenrade;
801051038;Gemeinde Groven;Groven;
801051039;Gemeinde Gudendorf;Gudendorf;
801051043;Gemeinde Hedwigenkoog;Hedwigenkoog;
801051044;Stadt Heide;Heide;
801051045;Gemeinde Hellschen-Heringsand-Unterschaar;Hellschen.-H,-U;
801051046;Gemeinde Helse;Helse;
801051047;Gemeinde Hemme;Hemme;
801051048;Gemeinde Hemmingstedt;Hemmingstedt;
801051049;Gemeinde Hennstedt;Hennstedt (HEI);
